short,category,sub_category,fmt,total_count,nfields,n_noncommon,noncommon_fields
film_distribution,culture,film_video,v1,2437,33,14,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR FRSTREGTS JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
film_import,culture,film_video,v1,1815,33,14,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR FRSTREGTS JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
film_production,culture,film_video,v1,7352,33,14,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR FRSTREGTS JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
film_screening,culture,film_video,v1,476,33,14,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR FRSTREGTS JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
fitness_center,culture,sports,v1,7274,31,12,APVCANCELYMD BDNGDNGNUM BDNGYAREA BUPNM CLGENDDT CLGSTDT CULPHYEDCOBNM INSURJNYNCODE LDERCNT MEMCOLLTOTSTFNUM PUPRSENM SITEAREA
full_amusement_park,culture,amusement,v1,6,45,27,APVCANCELYMD BCFACILEN BDNGSRVNM CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM DISPENEN FACILAR FACILSCP GEICPFACILEN INFOBEN JISGNUMLAY MNFACTREARTCLCN NEARENVNM PLAYFACILCNT PLAYUTSCNTDTL PLNINSURENDDT PLNINSURSTDT REGNSENM SITEAREA STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY UPTAENM
game_distribution,culture,game,v1,4120,32,13,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
game_production,culture,game,v1,7821,32,13,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
general_amusement_park,culture,amusement,v1,108,44,25,APVCANCELYMD BCFACILEN BDNGSRVNM CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM DISPENEN FACILAR FACILSCP GEICPFACILEN INFOBEN JISGNUMLAY MNFACTREARTCLCN NEARENVNM PLAYFACILCNT PLAYUTSCNTDTL PLNINSURENDDT PLNINSURSTDT REGNSENM STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
general_campground,culture,camping,v1,35,48,29,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
general_game_arcade,culture,game,v1,10202,50,31,APVCANCELYMD AUTOCHAAIRYN BDNGSRVNM BFGAMEOCPTECTCOBNM BGROOMCNT BGROOMYN CLGENDDT CLGSTDT CNVEFACILYN CULPHYEDCOBNM CULWRKRSENM EMERSTAIRYN EMEXYN FACILAR FIREFACILYN JISGNUMLAY LGHTFACILINILLU LGHTFACILYN MNFACTREARTCLCN NEARENVNM NOROOMCNT PASGBRETH PRVDGATHINNM REGNSENM SOUARFACILYN SOUNDFACILYN SPECLGHTYN TOTGASYSCNT TOTNUMLAY UNDERNUMLAY VDORETORNM
general_travel_agency,culture,travel,v1,11696,50,31,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM PLNINSURENDDT PLNINSURSTDT REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
golf_course,culture,sports,v1,2,31,12,APVCANCELYMD BDNGDNGNUM BDNGYAREA BUPNM CLGENDDT CLGSTDT CULPHYEDCOBNM DRMKCOBNM INSURJNYNCODE LDERCNT MEMCOLLTOTSTFNUM PUPRSENM
golf_range,culture,sports,v1,3615,30,11,APVCANCELYMD BDNGDNGNUM BDNGYAREA BUPNM CLGENDDT CLGSTDT CULPHYEDCOBNM INSURJNYNCODE LDERCNT MEMCOLLTOTSTFNUM PUPRSENM
ice_rink,culture,sports,v1,74,30,11,APVCANCELYMD BDNGDNGNUM BDNGYAREA BUPNM CLGENDDT CLGSTDT CULPHYEDCOBNM INSURJNYNCODE LDERCNT MEMCOLLTOTSTFNUM PUPRSENM
internet_game_cafe,culture,game,v1,16843,50,31,APVCANCELYMD AUTOCHAAIRYN BDNGSRVNM BFGAMEOCPTECTCOBNM BGROOMCNT BGROOMYN CLGENDDT CLGSTDT CNVEFACILYN CULPHYEDCOBNM CULWRKRSENM EMERSTAIRYN EMEXYN FACILAR FIREFACILYN JISGNUMLAY LGHTFACILINILLU LGHTFACILYN MNFACTREARTCLCN NEARENVNM NOROOMCNT PASGBRETH PRVDGATHINNM REGNSENM SOUARFACILYN SOUNDFACILYN SPECLGHTYN TOTGASYSCNT TOTNUMLAY UNDERNUMLAY VDORETORNM
karaoke_room,culture,music,v1,12798,50,31,APVCANCELYMD AUTOCHAAIRYN BDNGSRVNM BFGAMEOCPTECTCOBNM BGROOMCNT BGROOMYN CLGENDDT CLGSTDT CNVEFACILYN CULPHYEDCOBNM CULWRKRSENM EMERSTAIRYN EMEXYN FACILAR FIREFACILYN JISGNUMLAY LGHTFACILINILLU LGHTFACILYN MNFACTREARTCLCN NEARENVNM NOROOMCNT PASGBRETH PRVDGATHINNM REGNSENM SOUARFACILYN SOUNDFACILYN SPECLGHTYN TOTGASYSCNT TOTNUMLAY UNDERNUMLAY VDORETORNM
martial_arts_gym,culture,sports,v1,5689,31,12,APVCANCELYMD BDNGDNGNUM BDNGYAREA BUPNM CLGENDDT CLGSTDT CULPHYEDCOBNM INSURJNYNCODE LDERCNT MEMCOLLTOTSTFNUM PUPRSENM UPTAENM
music_video_distribution,culture,music,v1,807,32,13,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
music_video_production,culture,music,v1,3250,32,13,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
online_music_service,culture,music,v1,115,32,13,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
outdoor_advertising,culture,publishing,v1,13088,22,4,CLGENDDT CLGSTDT ROPNYMD TRDCTN
overseas_travel_agency,culture,travel,v1,13550,50,31,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM PLNINSURENDDT PLNINSURSTDT REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
performance_hall,culture,performance,v1,1410,33,14,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR FACILSCP JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
pop_culture_agency,culture,culture_arts,v1,7839,33,14,ACTLNM APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
printing_shop,culture,publishing,v1,5407,32,13,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
publisher,culture,publishing,v1,83078,32,13,APVCANCELYMD BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR JISGNUMLAY MNFACTREARTCLCN NEARENVNM REGNSENM TOTNUMLAY UNDERNUMLAY
resort_complex,culture,amusement,v1,1,48,29,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
sled_park,culture,sports,v1,44,30,11,APVCANCELYMD BDNGDNGNUM BDNGYAREA BUPNM CLGENDDT CLGSTDT CULPHYEDCOBNM INSURJNYNCODE LDERCNT MEMCOLLTOTSTFNUM PUPRSENM
sports_complex,culture,sports,v1,224,22,3,APVCANCELYMD CLGENDDT CLGSTDT
swimming_pool,culture,sports,v1,263,30,11,APVCANCELYMD BDNGDNGNUM BDNGYAREA BUPNM CLGENDDT CLGSTDT CULPHYEDCOBNM INSURJNYNCODE LDERCNT MEMCOLLTOTSTFNUM PUPRSENM
