short,category,sub_category,fmt,total_count,nfields,n_noncommon,noncommon_fields
general_restaurant,food,restaurant,v1,534927,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
group_meal_facility,food,meal_service,v1,10716,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
group_meal_food_sale,food,sale,v1,2490,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
hfood_dist_sale,food,sale,v1,7330,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
hfood_general_sale,food,sale,v1,114919,38,19,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM WMEIPCNT WTRSPLYFACILSENM
instant_sale_mfg,food,manufacturing,v1,154444,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
rest_restaurant,food,restaurant,v1,146172,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
singing_bar,food,bar,v1,11615,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
tour_entertainment_bar,food,bar,v1,2,48,29,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
tour_restaurant,food,restaurant,v1,226,48,29,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
affiliated_medical,health_medical,institution,v1,146,29,10,APVCANCELYMD CLGENDDT CLGSTDT HSTRMNUM MEDEXTRITEMSCN MEDEXTRITEMSCNNM METRORGASSRNM METRPNUM SICBNUM TOTAR
clinic,health_medical,institution,v1,37488,30,11,APVCANCELYMD CLGENDDT CLGSTDT HSTRMNUM MEDEXTRITEMSCN MEDEXTRITEMSCNNM METRORGASSRNM METRPNUM SICBNUM TOTAR UPTAENM
hospital,health_medical,institution,v1,928,24,5,APVCANCELYMD CLGENDDT CLGSTDT SITEAREA UPTAENM
medical_corporation,health_medical,institution,v1,95,29,10,CLGENDDT CLGSTDT HSTRMNUM MEDEXTRITEMSCN MEDEXTRITEMSCNNM METRORGASSRNM METRPNUM SICBNUM TOTAR UPTAENM
medical_device_repair,health_medical,medical_device,v1,1461,26,7,APVCANCELYMD CLGENDDT CLGSTDT MEDKIND ROPNYMD SJYN TOTSCP
medical_device_sale,health_medical,medical_device,v1,69794,23,4,APVCANCELYMD CLGENDDT CLGSTDT TOTSCP
medical_similar,health_medical,care,v1,601,32,13,APVCANCELYMD ASTNEPNUM BATRAR CLGENDDT CLGSTDT EPCNT ETCEPCNT FACILMNGNUM METRBOSASSRNM QUTNOWNERNUM SICBNUM TOTAR UPTAENM
postpartum_care,health_medical,care,v1,244,40,21,APVCANCELYMD BABYRGLSTNUM BBRMAR BDNGLAYERCNT BTPNUM BTRMAR CLGENDDT CLGSTDT COPNUM JISGNUMLAY JORIWONTOILAR MMKNURMAR NURSAIDCNT NURSECNT NUTRCNT OFEAR PGRMAR POMFACILAR PWNMRGLSTNUM UNDERNUMLAY WARMAR
safety_otc_drug_sale,health_medical,drug_sale,v1,17939,23,4,APVCANCELYMD CLGENDDT CLGSTDT STORETRDAR
barber_shop,hygiene_beauty,beauty,v1,15609,37,18,ABEDCNT BDNGJISGFLRCNT BDNGOWNSENM BDNGUNDERFLRCNT CHAIRCNT CNDPERMENDYMD CNDPERMNTWHY CNDPERMSTYMD MANEIPCNT MULTUSNUPSOYN SITEAREA SNTUPTAENM UPTAENM USEJISGENDFLR USEJISGSTFLR USEUNDERENDFLR USEUNDERSTFLR WMEIPCNT
bathhouse,hygiene_beauty,bath,v1,3984,37,18,BALHANSILYN BDNGJISGFLRCNT BDNGOWNSENM BDNGUNDERFLRCNT CNDPERMENDYMD CNDPERMNTWHY CNDPERMSTYMD MANEIPCNT MULTUSNUPSOYN SITEAREA SNTUPTAENM UPTAENM USEJISGENDFLR USEJISGSTFLR USEUNDERENDFLR USEUNDERSTFLR WMEIPCNT YOKSILCNT
beauty_shop,hygiene_beauty,beauty,v1,99042,37,18,ABEDCNT BDNGJISGFLRCNT BDNGOWNSENM BDNGUNDERFLRCNT CHAIRCNT CNDPERMENDYMD CNDPERMNTWHY CNDPERMSTYMD MANEIPCNT MULTUSNUPSOYN SITEAREA SNTUPTAENM UPTAENM USEJISGENDFLR USEJISGSTFLR USEUNDERENDFLR USEUNDERSTFLR WMEIPCNT
disinfection,hygiene_beauty,sanitation,v1,3794,32,13,APVCANCELYMD CLGENDDT CLGSTDT DISFETVEHGARAR DYNPWSPRAYNUM GMKNUM HDOPTDSPRAYNUM HNDUSESTLZNUM MICROSPKLNUM OFEAR PROTGLSNUM PROTUSECLOTNUM VACUCLERNUM
laundry,hygiene_beauty,laundry,v1,15351,37,18,BDNGJISGFLRCNT BDNGOWNSENM BDNGUNDERFLRCNT CNDPERMENDYMD CNDPERMNTWHY CNDPERMSTYMD MANEIPCNT MULTUSNUPSOYN RCVDRYNCNT SITEAREA SNTUPTAENM UPTAENM USEJISGENDFLR USEJISGSTFLR USEUNDERENDFLR USEUNDERSTFLR WASHMCCNT WMEIPCNT
animal_sale,industry,animal,v1,1488,26,7,APVCANCELYMD CLGENDDT CLGSTDT RGTMBDSNO ROPNYMD SITEAREA UPTAENM
caregiver_academy,industry,education,v1,494,22,4,CLGENDDT CLGSTDT DELETEYMD ROPNYMD
distribution_sale,industry,sales,v1,19356,39,20,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
door_to_door_sale,industry,sales,v1,35451,26,7,APVCANCELYMD ASETSCP BCTOTAM CAPT CLGENDDT CLGSTDT ROPNYMD
emission_repair_agent,industry,emission,v1,147,26,7,CLGENDDT CLGSTDT COBGBNNM ENVBSNSENM JONGGBNNM ROPNYMD UPTAENM
feed_manufacturing,industry,animal,v1,2492,29,10,APVCANCELYMD CLGENDDT CLGSTDT LINDJOBGBNNM LINDPRCBGBNNM LINDSEQNO RGTMBDSNO ROPNYMD SITEAREA UPTAENM
free_job_agency,industry,job_agency,v1,854,21,2,BUPGBNNM SENM
funeral_director_academy,industry,education,v1,32,22,4,CLGENDDT CLGSTDT DELETEYMD ROPNYMD
groundwater_construction,industry,groundwater,v1,347,21,5,APVCANCELYMD CAPT FACILEQI OTRORGTRANSYN SPECMPWTOTNUM
groundwater_purification,industry,groundwater,v1,64,21,5,APVCANCELYMD CAPT FACILEQI OTRORGTRANSYN SPECMPWTOTNUM
groundwater_survey,industry,groundwater,v1,134,20,4,APVCANCELYMD FACILEQI OTRORGTRANSYN SPECMPWTOTNUM
high_pressure_gas,industry,gas,v1,2947,24,7,CLGENDDT CLGSTDT PRDSENM ROPNYMD SITEAREA UPTAENM WRKPGRDSRVSENM
large_store,industry,sales,v1,1044,26,7,APVCANCELYMD CLGENDDT CLGSTDT JPSENM ROPNYMD SITEAREA UPTAENM
log_production,industry,timber,v1,22,24,7,CAPT MPWKEESITU STATESENM TMBSENM TMBSRNM TRETMBRPRDT YTPDTQY
mail_order_sale,industry,sales,v1,933456,25,6,APVCANCELYMD CLGENDDT CLGSTDT ROPNYMD SILMETNM UPTAENM
meter_certification,industry,meter,v1,70,24,5,CLGENDDT CLGSTDT OFFTELNO ROPNYMD WRKPTELNO
meter_import,industry,meter,v1,76,23,4,CLGENDDT CLGSTDT ROPNYMD WRKPTELNO
meter_manufacturing,industry,meter,v1,45,24,5,CLGENDDT CLGSTDT OFFTELNO ROPNYMD WRKPTELNO
meter_repair,industry,meter,v1,113,24,5,CLGENDDT CLGSTDT OFFTELNO ROPNYMD WRKPTELNO
mlm_sale,industry,sales,v1,955,23,4,CAPTSCALE CLGENDDT CLGSTDT COBGBNNM
mutual_aid_funeral,industry,funeral,v1,148,29,10,CAPTSCALE CLGENDDT CLGSTDT DEBTPAYISRE DEPBANKNM DEPUCORGETCNM DEPUCORGNM INSUR MWSRNM ROPNYMD
paid_job_agency,industry,job_agency,v1,12585,21,2,BUPGBNNM SENM
petroleum_alt_fuel_sale,industry,petroleum,v1,270,23,4,CAPT CLGSTDT UPCHNM UPTAENM
petroleum_sale,industry,petroleum,v1,1913,24,6,APVCANCELYMD CLGENDDT CLGSTDT ROPNYMD SITEAREA UPTAENM
pressure_equipment,industry,gas,v1,23,29,10,BAEESBPLC CGPAR CLGENDDT CLGSTDT INSTRSTOROOMAR LTCHGCN OFEAR ROPNYMD SAVEEQULOC TREGASCAP
special_high_pressure_gas,industry,gas,v1,837,22,4,BMONUSEQY SYGRGLSTCNT USEMET USEOBJ
sponsored_door_sale,industry,sales,v1,2892,23,4,CAPTSCALE CLGENDDT CLGSTDT COBGBNNM
telemarketing_sale,industry,sales,v1,9887,26,7,APVCANCELYMD ASETSCP BCTOTAM CAPT CLGENDDT CLGSTDT ROPNYMD
timber_import_dist,industry,timber,v1,657,24,7,CAPT MPWKEESITU STATESENM TMBSENM TMBSRNM TRETMBRPRDT YTPDTQY
tobacco_import_sale,industry,tobacco,v1,296,22,4,CLGENDDT CLGSTDT TBCOSPYUPCHNM TREPRDTNM
tobacco_retail,industry,tobacco,v1,95267,24,5,APVCANCELYMD ASGNYMD CLGENDDT CLGSTDT MWSRNM
tobacco_wholesale,industry,tobacco,v1,559,24,5,APVCANCELYMD CLGENDDT CLGSTDT TBCOSPYUPCHNM TREPRDTNM
livestock_processing,livestock,processing,v1,1529,29,10,APVCANCELYMD CLGENDDT CLGSTDT LINDJOBGBNNM LINDPRCBGBNNM LINDSEQNO RGTMBDSNO ROPNYMD SITEAREA UPTAENM
livestock_sale,livestock,sale,v1,41880,29,10,APVCANCELYMD CLGENDDT CLGSTDT LINDJOBGBNNM LINDPRCBGBNNM LINDSEQNO RGTMBDSNO ROPNYMD SITEAREA UPTAENM
livestock_storage,livestock,logistics,v1,74,28,9,APVCANCELYMD CLGENDDT CLGSTDT LINDJOBGBNNM LINDSEQNO RGTMBDSNO ROPNYMD SITEAREA UPTAENM
livestock_transport,livestock,logistics,v1,585,28,9,APVCANCELYMD CLGENDDT CLGSTDT LINDJOBGBNNM LINDSEQNO RGTMBDSNO ROPNYMD SITEAREA UPTAENM
meat_packaging,livestock,processing,v1,1788,28,9,APVCANCELYMD CLGENDDT CLGSTDT LINDJOBGBNNM LINDPRCBGBNNM LINDSEQNO RGTMBDSNO ROPNYMD SITEAREA
lodging,lodging,lodging,v1,7089,36,20,BDNGJISGFLRCNT BDNGOWNSENM BDNGUNDERFLRCNT CLGSTDT CNDPERMENDYMD CNDPERMNTWHY CNDPERMSTYMD HANSHILCNT LOTNO_ADDR MANEIPCNT MULTUSNUPSOYN SITEAREA SNTTN_BZSTAT_NM SNTUPTAENM USEJISGENDFLR USEJISGSTFLR USEUNDERENDFLR USEUNDERSTFLR WMEIPCNT YANGSILCNT
dental_lab,optical_dental,dental,v1,2525,37,18,ACETNUM APVCANCELYMD BURYCNT CLGENDDT CLGSTDT CRFTUSECOMPRECNT CRFTUSELESSNUM CRFTUSEMOTNUM CTPLCTMCENUM DENTIUSEPRESSNUM EFURNUM PCANNUM PINDEXCNT SBMCNT SPWVCLERNUM SUVYNUM TRMNUM VITRNUM
optical_shop,optical_dental,optical,v1,4885,32,13,APVCANCELYMD CLGENDDT CLGSTDT DEFPTRFRTGGNUM EYEPYONUM GLSWASHERNUM HEATNUM LENSCUTNUM MSMCHAIRNUM PPTNUSEGRNDNUM PUPILDISTMEASNUM SAMPLENSNUM TOTAR
pharmacy,pharmacy,pharmacy,v1,22369,24,5,APVCANCELYMD ASGNYMD CLGENDDT CLGSTDT PHARMTRDAR
air_pollution_facility,environment,pollution,v2,5566,31,10,BZSTAT_SE_NM CTGRY_NM EMS_FCLT_ANL_OPRTNG_DCNT EMS_FCLT_OPER_HRM ENVM_TASK_SE_NM MAIN_PRDT_NM PVT_FCLT_ANL_OPRTNG_DCNT PVT_FCLT_OPER_HRM ROBIZ_YMD TPBIZ_SE_NM
building_sanitation,environment,sanitation,v2,11501,35,16,BLDG_GRND_NOFL BLDG_PSN_SE_NM BLDG_UGWTR_NOFL BZSTAT_SE_NM FML_PRCTR_CNT HYGN_BZSTAT_NM LCTN_AREA MLT_UTZTN_YN ML_PRCTR_CNT PRMSN_BGNG_YMD PRMSN_DCLR_RSN PRMSN_END_YMD USE_BGNG_GRND_FLR USE_BGNG_UDGD_FLR USE_END_GRND_FLR USE_END_UDGD_FLR
construction_waste,environment,waste,v2,508,28,7,DSCD_PRCS_SE_NM DSCD_PRCS_TYPE_NM DSCD_SE_NM ENVM_TASK_SE_NM PRM_KPNG_CN PRM_KPNG_QY ROBIZ_YMD
env_construction,environment,env_service,v2,660,46,25,BIZOFC_AREA BPLC_SE_NM BZSTAT_SE_NM CNSGN_BZENTY_NM LAB_AREA LAB_BAN LAB_HO LAB_MTN LAB_RDN_CD LAB_RDN_EMD_CD LAB_RDN_EMD_SE LAB_RDN_FLR_SE LAB_RDN_MAIN_NO LAB_RDN_SGG_CD LAB_RDN_SPCL_ADDR LAB_RDN_SUB_NO LAB_RDN_ZIP LAB_RGN_CD LAB_SPCL_ADDR LAB_SPCL_DONG LAB_SPCL_HO LAB_STRA LAB_TONG LAB_ZIP ROBIZ_YMD
env_consulting,environment,env_service,v2,208,24,3,BIZOFC_AREA BPLC_SE_NM LAB_AREA
env_measurement,environment,env_service,v2,281,46,25,BIZOFC_AREA BPLC_SE_NM BZSTAT_SE_NM CNSGN_BZENTY_NM LAB_AREA LAB_BAN LAB_HO LAB_MTN LAB_RDN_CD LAB_RDN_EMD_CD LAB_RDN_EMD_SE LAB_RDN_FLR_SE LAB_RDN_MAIN_NO LAB_RDN_SGG_CD LAB_RDN_SPCL_ADDR LAB_RDN_SUB_NO LAB_RDN_ZIP LAB_RGN_CD LAB_SPCL_ADDR LAB_SPCL_CU LAB_SPCL_HO LAB_STRA LAB_TONG LAB_ZIP ROBIZ_YMD
garbage_bag_sale,environment,waste,v2,4282,27,6,APLY_YMD ARTCL_VL_1 COMM_SE_NM DSGN_YMD LCTN ROBIZ_YMD
livestock_manure_transport,environment,manure,v2,4,26,5,BZSTAT_SE_NM CTGRY_NM ENVM_TASK_SE_NM ROBIZ_YMD TPBIZ_SE_NM
manure_facility_mgmt,environment,manure,v2,18,26,5,BZSTAT_SE_NM CTGRY_NM ENVM_TASK_SE_NM ROBIZ_YMD TPBIZ_SE_NM
septic_tank_construction,environment,sewage,v2,746,26,5,BZSTAT_SE_NM CTGRY_NM ENVM_TASK_SE_NM ROBIZ_YMD TPBIZ_SE_NM
sewage_transport,environment,sewage,v2,158,26,5,BZSTAT_SE_NM CTGRY_NM ENVM_TASK_SE_NM ROBIZ_YMD TPBIZ_SE_NM
water_pollution_facility,environment,pollution,v2,10603,31,10,BZSTAT_SE_NM CTGRY_NM EMS_FCLT_ANL_OPRTNG_DCNT EMS_FCLT_OPER_HRM ENVM_TASK_SE_NM MAIN_PRDT_NM PVT_FCLT_ANL_OPRTNG_DCNT PVT_FCLT_OPER_HRM ROBIZ_YMD TPBIZ_SE_NM
water_tank_cleaning,environment,sanitation,v2,1585,31,10,BDST_AREA BDST_NM BDST_STTS_NM CLN_BGNG_YMD CLN_END_YMD LCPMT_RTRCN_YMD ROBIZ_YMD TASK_SE TASK_SE_NM TCBIZ_ABL_RSN
